ServiceTypeId,Description
3,COMPLETE DETAIL
4,TOUCH UP
5,EXTERIOR DETAIL
6,INTERIOR DETAIL
7,COATING MAINTENANCE
8,DYE CARPETS
9,WET SANDING
10,DENT REPAIR
11,FRESHEN UP
12,HEADLIGHT POLISH
13,POLISH PAINT
14,CARPET REPLACEMENT
15,CARPET PAD REPLACED
16,UNDERCOATING
17,HEADLINER REPAIR
18,SCRATCH REPAIR
19,WASH N WAX
20,REMOVE PINSTRIPE
21,TINT REMOVAL
22,WHEEL REPAIR
30,HAND WASH
31,BUG SHIELD REMOVAL
32,USED CAR DETAIL
33,NEW CAR DETAIL
34,RESTOCK
35,USED CAR PRE DELIVERY
36,NEW CAR PRE DELIVERY
37,OVERSPRAY REMOVAL
38,NEW CAR DELIVERY
39,USED CAR DELIVERY
40,CUSTOMER DETAIL
41,COURTESY WASH
42,DEMO
43,SMOKE TREATMENT
44,INTERIOR ONLY
45,FLEET
46,SHOWROOM
48,PINSTRIPE REMOVAL
50,WINDOW TINT
58,OVER SPRAY REMOVAL
59,BODY REPAIR
61,TECTANIUM COATING
62,GASOLINE
63,DYE SEATS
64,DEALER TRADE
65,PRE-DELIVERY
66,PINSTRIPE
67,APP
71,REPLACE CLEAR BRA
72,UPHOLSTERY WORK
77,HEADLIGHT RESTORE
82,POLISH  SCRATCHES
83,FOG LIGHT REPAIR
84,RIM COATING
85,WINDSHIELD COATING
86,WATER SPOT REMOVAL
88,BED COVER INSTALL
90,GOLF SHOW
93,SERVICE COMPLETE DETAIL
94,SERVICE EXTERIOR
95,SERVICE INTERIOR
96,SERVICE COURTESY WASH
97,SERVICE WASH-VACUUM-WINDOWS
98,SERVICE TECTANIUM COATING
99,SERVICE HEADLIGHT RESTORATION
100,DEMO COMPLETE
102,TECTANIUM REFRESH
103,RIMS COATED
104,TECTANIUM INTERIOR COATING
105,FREE WASH, 1ST OIL
106,CLEAN CARPETS
111,POWDER COATING REMOVEAL
112,ENGINE CLEAN
123,WATERSPOT REMOVAL
127,HOURS/SHOP HELP
128,SHOP HELP & HOURS
129,DRIVING / RUNS
130,CLEANING OFFICE AND BREAK ROOM
131,SEAT CLEANING
132,SUPPLIES
134,CLEAN SEAT
135,TIRE SERVICE
136,GROUNDED LOANERS
137,SERVICE WASH AND WAX
138,ODOR REMOVAL
139,PAINT FRAME
140,TAR REMOVAL
141,FABRIC GUARD
142,PAINT REMOVAL
143,W/B PREP
144,CLEAN SEATS
145,FRAME PAINT
146,BLACK PAINT
147,RAIN GUARD REMOVAL
148,ROAD PAINT REMOVAL
149,RAIL DUST REMOVAL
150,DECAL REMOVAL
151,PET HAIR REMOVAL
152,PAINT WHEELS
153,ENGINE REPAIR
154,CARPET PADDING REPLACEMENT
155,BUMPER DYE
157,SEAT DYE
158,FRONT WINDSHIELD
159,REPLACE WINDSHIELD
160,BROKEN GLASS REMOVAL
162,BUMPER PERFECTED
163,INTERIOR REPAIR
164,PAINTLESS DENT REPAIR
165,SEATBELT CLEANING
166,TAKING PICTURES
167,PAINT REAR BUMPER
168,CLEAN SEAT BELTS
169,DYE BLACK AREAS
170,WINDSHIELD REPLACEMENT
171,CLEAN BREAKROOM&BATHROOMS
172,HEADLINER CLEAN
173,SAP REMOVAL
174,SCOTCHGUARD
175,HEADLINER
176,SOFT TOP CLEAN
177,REPLACE CENTER CONSOLE
178,VACUUM ONLY
179,DOOR EDGE GUARD REMOVAL
180,CLEAN BREAKROOM/RESTROOMS
181,COAT WHEELS
182,TRUNK ONLY
183,SEATBELTS ONLY
184,GLASS REMOVAL
185,HAND WASH AND WAX
186,DYE DOOR
187,PARTS
188,FILM REMOVAL
192,WINDSHIELD CHIP REPAIR
193,PAINTWORK
194,TRIM DYE
195,HAIL DAMAGE
196,SEAT REPAIR
197,WET SAND TOUCH UP
198,REPAIRED DOOR HANDLE
199,REPAIRED SPOILER
200,REAR BUMPER INSTALL
201,FRONT BUMPER INSTALL
202,HEADLIGHT INSTALL
203,INSTALL PART
205,INTERIOR PARTS R&I
206,EXTERIOR PARTS R&I
207,PAINT SEALANT
208,REPLACE CARPETS
209,EXTERIOR REPAIRS
210,PAINT CORRECTION
211,LEATHER REPAIR
212,CERAMIC COATING
213,REPLACE/PAINT MIRROR
214,STARTER REPAIR
215,CHEMICALS
216,PAINT FRONT BUMPER
217,REFINISH FENDER FLARES
218,DYNAMAT INSTALL
219,WATERSPOT GLASS REMOVAL
220,COMPOUND
221,UBER
222,ALUMINUM DENT REPAIR
223,TRIM REMOVAL
224,GO FUCK YOURSELF
